Empresa,Año,Mes,Día,Apertura,Máximo,Mínimo,Cierre,Cierre Ajustado,Volumen,Rendimiento Diario,Volatilidad,Tendencia,Sobrecompra/Sobrevendido,Recomendación
TSLA,2021,11,26,366.489990234375,369.59332275390625,360.3333435058594,360.6400146484375,360.6400146484375,35042700.0,-0.015962170159671663,0.042556405819298065,0.00576280856411324,0.4569778225616011,Comprar
MSFT,2024,7,9,467.0,467.3299865722656,458.0,459.5400085449219,458.7132263183594,17207200.0,-0.015974285771045236,0.00980338071254942,0.0017251654896918533,0.1677920431775966,Comprar
V,2022,1,27,209.5,210.9600067138672,205.85000610351562,206.14999389648438,201.83349609375,12009800.0,-0.01599048259434666,0.013403865799411755,0.0011552452177763257,-0.08390707840387553,Comprar
JPM,2024,3,14,191.02999877929688,191.6300048828125,187.10000610351562,187.97000122070312,185.85008239746094,10310900.0,-0.01601841374730397,0.007844478379185926,0.0019310642834539022,0.20219205752195876,Comprar
TSLA,2023,10,25,215.8800048828125,220.10000610351562,212.1999969482422,212.4199981689453,212.4199981689453,107065100.0,-0.01602745337969306,0.02370323910537466,0.0017896681331896847,-0.017307233562405083,Comprar
AAPL,2022,1,4,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,176.9983367919922,99310400.0,-0.016043409386373282,0.017106337115894907,0.0036606825629197813,0.24320885439474077,Comprar
JPM,2021,6,14,160.14999389648438,160.3300018310547,156.66000366210938,157.57000732421875,144.05264282226562,19917900.0,-0.016109813740818765,0.008543535950899685,0.00021353838193586357,0.19558118099484717,Comprar
MSFT,2020,8,10,211.6699981689453,211.8800048828125,206.35000610351562,208.25,200.6893310546875,36716500.0,-0.016157217359711158,0.015165557776136379,0.001802690381724728,0.09949201562504784,Comprar
AMZN,2023,5,19,118.16000366210938,118.30999755859375,115.69999694824219,116.25,116.25,54990200.0,-0.016164553172926654,0.015521445034998936,0.0026643544839367104,0.09903251884160538,Comprar
AAPL,2021,12,1,167.47999572753906,170.3000030517578,164.52999877929688,164.77000427246094,162.2928009033203,152052500.0,-0.016180985933907065,0.013517681311759375,0.003098566702066473,0.18846648839308536,Comprar
V,2020,9,10,204.86000061035156,207.0,200.4499969482422,201.5399932861328,195.82029724121094,7243000.0,-0.016206225296921093,0.012555993854740908,0.0001339245375924161,0.0841227605115618,Comprar
V,2020,4,15,168.6999969482422,169.36000061035156,164.9499969482422,165.9600067138672,160.73751831054688,12118700.0,-0.016241791843159544,0.03502630115088589,0.0019153527892409388,0.00783725603049613,Comprar
JPM,2021,4,20,151.74000549316406,151.75,148.64999389648438,149.27000427246094,136.4646453857422,13716700.0,-0.0162778511354041,0.007759448010428138,0.0013435813993161305,0.24271024035280844,Comprar
GOOGL,2020,12,30,88.25,88.38800048828125,86.4000015258789,86.8125,86.71298217773438,21026000.0,-0.016288951841359773,0.010719285947126378,0.0007569600810345412,0.15926142251820505,Comprar
GOOGL,2020,4,27,64.5999984741211,64.70500183105469,63.25299835205078,63.542999267578125,63.47015380859375,44186000.0,-0.016362217206032984,0.018006332391077746,0.0009109373413967625,-0.7740186334066411,Comprar
TSLA,2022,8,16,311.6666564941406,314.6666564941406,302.8833312988281,306.5633239746094,306.5633239746094,88136400.0,-0.01637432947411618,0.030706309896572876,0.0020269735226797416,0.013049081903428935,Comprar
AMZN,2020,6,24,139.0,139.8000030517578,136.0500030517578,136.72000122070312,136.72000122070312,90532000.0,-0.016402868915804857,0.012465623520374258,0.0014932115586543133,0.01998568991387372,Comprar
NVDA,2023,1,18,17.66699981689453,17.87299919128418,17.281999588012695,17.37700080871582,17.367053985595703,439624000.0,-0.01641472865706331,0.028835414756550458,0.00491526258321013,0.059547378373512296,Comprar
AMZN,2021,7,16,181.66549682617188,182.30299377441406,178.5229949951172,178.68150329589844,178.68150329589844,80874000.0,-0.0164257582337096,0.01491488846392254,0.0009415505254566765,0.09914972972266796,Comprar
NVDA,2023,2,21,21.0,21.493999481201172,20.618000030517578,20.655000686645508,20.64317512512207,410015000.0,-0.016428538731166294,0.027510923094746984,0.008389980043606336,0.2683307359687162,Comprar
TSLA,2023,3,8,185.0399932861328,186.5,180.0,182.0,182.0,151897800.0,-0.016428844554874044,0.03100187239091661,0.007856978043783998,-0.1721291375909947,Comprar
